"processo","instancia","comarca","resultado_dispositivo","favorabilidade"
"10069485920258260132","1a","SÃO PAULO","parcial","parcial_consumidor"
"10470148020258260100","1a","SÃO PAULO","improcedente","empresa_venceu"
"00003364420248260428","1a","Paulínia","procedente","consumidor_venceu"
"10055940420258260292","1a","Jacareí","improcedente","empresa_venceu"
"10341056120258260114","1a","Campinas","parcial","parcial_consumidor"
"10007422820258260100","1a","SÃO PAULO","parcial","parcial_consumidor"
"10046004620258260010","1a","SÃO PAULO","improcedente","empresa_venceu"
"10342890520258260506","1a","Ribeirão Preto","parcial","parcial_consumidor"
"10014010920238260229","1a","SÃO PAULO","improcedente","empresa_venceu"
"10028422920258260302","1a","Jaú","improcedente","empresa_venceu"
"10478284320228260506","1a","SÃO PAULO","improcedente","empresa_venceu"
"10435270520258260100","1a","SÃO PAULO","parcial","parcial_consumidor"
"00031909120258260196","1a","Franca","indefinido","indefinido"
"10018703420248260451","1a","Piracicaba","improcedente","empresa_venceu"
"10058752820258260625","1a","Taubaté","parcial","parcial_consumidor"
"10008149120258260495","1a","Registro","improcedente","empresa_venceu"
"10003389220258260094","1a","Brodowski","parcial","parcial_consumidor"
"00041143620248260100","1a","SÃO PAULO","indefinido","indefinido"
"10014994020258260482","1a","Presidente Prudente","improcedente","empresa_venceu"
"00136299520248260100","1a","SÃO PAULO","indefinido","indefinido"
"10098005020248260016","1a","SÃO PAULO","parcial","parcial_consumidor"
"00001349120258260538","1a","Santa Cruz das Palmeiras","indefinido","indefinido"
"10147239820238260196","1a","Franca","improcedente","empresa_venceu"
"10026309620238260457","1a","Pirassununga","improcedente","empresa_venceu"
"10082010320228260451","1a","SÃO PAULO","parcial","parcial_consumidor"
"10147239820238260196","1a","Franca","improcedente","empresa_venceu"
"10026309620238260457","1a","Pirassununga","improcedente","empresa_venceu"
"10082010320228260451","1a","SÃO PAULO","parcial","parcial_consumidor"
"11490556220248260100","1a","Araçatuba","improcedente","empresa_venceu"
"10417589120228260576","1a","SÃO PAULO","parcial","parcial_consumidor"
"10101166620238260576","1a","São José do Rio Preto","parcial","parcial_consumidor"
"10805271020238260100","1a","SÃO PAULO","procedente","consumidor_venceu"
"10149573820238260016","1a","SÃO PAULO","parcial","parcial_consumidor"
"10005635420248260642","1a","Ubatuba","improcedente","empresa_venceu"
"10014447720238260347","1a","Matão","improcedente","empresa_venceu"
"10502578020228260506","1a","SÃO PAULO","parcial","parcial_consumidor"
"10133750320238260016","1a","SÃO PAULO","indefinido","indefinido"
"10673317020238260100","1a","SÃO PAULO","improcedente","empresa_venceu"
"10030999220238260506","1a","Ribeirão Preto","improcedente","empresa_venceu"
"10411996520228260114","1a","Campinas","procedente","consumidor_venceu"
"10643224620238260506","1a","Ribeirão Preto","improcedente","empresa_venceu"
"10027648720238260081","1a","Adamantina","parcial","parcial_consumidor"
"10478284320228260506","1a","SÃO PAULO","parcial","parcial_consumidor"
"10478284320228260506","1a","Ribeirão Preto","parcial","parcial_consumidor"
"10618468920238260100","1a","SÃO PAULO","parcial","parcial_consumidor"
"10014187520228260101","1a","Caçapava","parcial","parcial_consumidor"
"10010930720238260638","1a","Tupi Paulista","parcial","parcial_consumidor"
"10002305920228260097","1a","Buritama","improcedente","empresa_venceu"
"10064912820238260510","1a","Rio Claro","improcedente","empresa_venceu"
"10817327420238260100","1a","SÃO PAULO","improcedente","empresa_venceu"
"10235750620228260016","1a","SÃO PAULO","indefinido","indefinido"
"10221452420238260100","1a","SÃO PAULO","improcedente","empresa_venceu"
"10149387420238260196","1a","Franca","parcial","parcial_consumidor"
"10024303620238260022","1a","Amparo","indefinido","indefinido"
"10057141320238260229","1a","Hortolândia","indefinido","indefinido"
"10151184820238260016","1a","SÃO PAULO","indefinido","indefinido"
"10020716420238260482","1a","Presidente Prudente","improcedente","empresa_venceu"
"10008576220238260474","1a","Potirendaba","indefinido","indefinido"
"10051275120238260597","1a","Sertãozinho","indefinido","indefinido"
"10003708920238260572","1a","São Joaquim da Barra","improcedente","empresa_venceu"
"10749058120228260100","1a","SÃO PAULO","indefinido","indefinido"
"10004874420238260584","1a","SÃO PAULO","parcial","parcial_consumidor"
"10037082620228260081","1a","Adamantina","parcial","parcial_consumidor"
"10216931420238260100","1a","SÃO PAULO","procedente","consumidor_venceu"
"10060140620218260597","1a","SÃO PAULO","parcial","parcial_consumidor"
"10025609020228260400","1a","Olímpia","parcial","parcial_consumidor"
"10145125420228260016","1a","SÃO PAULO","parcial","parcial_consumidor"
"10010711420238260196","1a","Franca","parcial","parcial_consumidor"
"10031469820228260539","1a","Santa Cruz do Rio Pardo","improcedente","empresa_venceu"
"10749058120228260100","1a","SÃO PAULO","parcial","parcial_consumidor"
"10155404320228260344","1a","Marília","parcial","parcial_consumidor"
"10122317320228260292","1a","Jacareí","improcedente","empresa_venceu"
"10010362220228260315","1a","Laranjal Paulista","improcedente","empresa_venceu"
"10063779820228260292","1a","Jacareí","improcedente","empresa_venceu"
"10297590720228260071","1a","Bauru","improcedente","empresa_venceu"
"10032996820218260539","1a","SÃO PAULO","improcedente","empresa_venceu"
"10015137220228260306","1a","José Bonifácio","parcial","parcial_consumidor"
"10005464020228260431","1a","Pederneiras","improcedente","empresa_venceu"
"10005464020228260431","1a","Pederneiras","improcedente","empresa_venceu"
"10004231720228260601","1a","Socorro","parcial","parcial_consumidor"
"10025213520228260581","1a","São Manuel","indefinido","indefinido"
"10020298220228260180","1a","Espírito Santo do Pinhal","procedente","consumidor_venceu"
"10332079520228260100","1a","SÃO PAULO","parcial","parcial_consumidor"
"10070033320228260320","1a","Limeira","procedente","consumidor_venceu"
"10002507420228260283","1a","Itirapina","indefinido","indefinido"
"10011871520228260306","1a","José Bonifácio","parcial","parcial_consumidor"
"00052174420228260037","1a","Araraquara","indefinido","indefinido"
"10002009220228260042","1a","Altinópolis","parcial","parcial_consumidor"
"10416520520228260100","1a","SÃO PAULO","procedente","consumidor_venceu"
"10045163920218260510","1a","Rio Claro","parcial","parcial_consumidor"
"10067906620228260016","1a","SÃO PAULO","indefinido","indefinido"
"10016534220218260274","1a","Itápolis","improcedente","empresa_venceu"
"10008213620228260189","1a","Fernandópolis","indefinido","indefinido"
"10064990320218260016","1a","SÃO PAULO","indefinido","indefinido"
"10017773420218260368","1a","Monte Alto","procedente","consumidor_venceu"
"10128751420208260477","1a","SÃO PAULO","indefinido","indefinido"
"10128751420208260477","1a","Praia Grande","indefinido","indefinido"
"10007170820218260374","1a","Morro Agudo","parcial","parcial_consumidor"
"00032037320218260344","1a","Marília","indefinido","indefinido"
"10008365020218260444","1a","Pilar do Sul","indefinido","indefinido"
"10111346120208260016","1a","SÃO PAULO","procedente","consumidor_venceu"
"10148002420218260602","1a","Sorocaba","indefinido","indefinido"
"10244251920208260602","1a","Sorocaba","improcedente","empresa_venceu"
